	vsesh	panshina	tekunova	zinchuk	mstepanova	twirl	anyksenya	kashey	azat	zloylos	dwht	pinsk	ogorbacheva
Алушта			—			Ваще норм				—	Так себе		
Амстердам	Ваще норм	Ваще норм	Так себе	—			Ваще норм			—	Ваще норм		
Андорра			—		Ваще норм					—			
Астрахань	Так себе	—	Так себе	Ваще норм			—			—	Так себе		
Афины		—	Так себе	—			—	Буэээ		—			
Барнаул			—							Буэээ			
Барселона		Так себе	Ваще норм	Буэээ	Так себе	Так себе	Ваще норм			—			Ваще норм
Берген		—	—	—			Ваще норм	Так себе		—			
Берлин	Так себе	Ваще норм	Ваще норм	Буэээ	Так себе	Буэээ	Ваще норм	Ваще норм		—	Ваще норм	Ваще норм	
Бостон		—	—	—		Ваще норм	Ваще норм	Ваще норм		—			
Брно			Так себе								Так себе		
Брюгге			Ваще норм								Ваще норм		
Будапешт	Так себе	Ваще норм	—	—		Ваще норм	—			—		Буэээ	Ваще норм
Будва			Так себе										
Варшава	Ваще норм	Буэээ	Так себе	—			—	Ваще норм		—	Так себе		
Великий Новгород			—					Так себе		—		Ваще норм	
Вена		Так себе	—	Ваще норм	Ваще норм	Ваще норм	—	Ваще норм		—		Ваще норм	
Венеция		Буэээ	—	—	Ваще норм		Ваще норм	Ваще норм		—			
Вильнюс			Ваще норм								Ваще норм		
Геленджик			—		Так себе			Буэээ		Буэээ			
Гонконг			—	—			Ваще норм			—		Так себе	
Гурзуф			—		Ваще норм					—			
Дно		Ваще норм	—	—			—	Так себе		—			
Дрезден			Ваще норм								Ваще норм		
Дубай			Ваще норм										
Екатеринбург			Ваще норм			Так себе		Ваще норм		—			
Женева			Так себе	Так себе			Ваще норм			—		Ваще норм	
Казань		Ваще норм	—	—	Ваще норм		—	Ваще норм		Ваще норм	Ваще норм		
Калининград	Ваще норм	—	—	—			—	Ваще норм		—			
Калуга			—					Буэээ		Так себе			Так себе
Катания			—							—			Ваще норм
Керчь			—							—			
Киев			Ваще норм	Ваще норм	Ваще норм		Так себе	Ваще норм		—	Ваще норм		
Копенгаген		Так себе	—	—			Ваще норм			—			
Краков			Ваще норм	—			—			—	Ваще норм		
Лиссабон		Ваще норм	—	—		Ваще норм	Ваще норм	Буэээ		—	Ваще норм		
Лондон		—	Так себе	—		Так себе	—	Буэээ		—		Ваще норм	
Лос-Анджелес		Так себе	—	Ваще норм			Так себе			—			
Львов			Ваще норм		Ваще норм					—			Так себе
Мадрид		Так себе	—	—		Так себе	Так себе			—			Так себе
Майами			Ваще норм							—	Ваще норм (в майами бич)		
Мальмо		Так себе	—	—			Так себе	Так себе		—			
Милан		Так себе	—		Так себе		—			—			Так себе
Минск	Ваще норм	Так себе	—	—	Буэээ		—	Ваще норм		Ваще норм	Ваще норм	Ваще норм	
Москва	Ваще норм	Ваще норм	Ваще норм	Так себе	Ваще норм	Ваще норм	Ваще норм	Так себе		Ваще норм	Ваще норм	Ваще норм	Буэээ
Мурманск			—							Так себе			
Мюнхен		Так себе	—	—			Ваще норм			—	Ваще норм		
Неаполь										—		Буэээ	Ваще норм
Нижний Новгород			Так себе		Так себе					Ваще норм			
Новороссийск			—										
Новосибирск		Ваще норм	 —	—			—	Буэээ		—			
Нью-Йорк		Ваще норм	Ваще норм	—		Ваще норм	Ваще норм	Ваще норм		—	Ваще норм		
Одесса			Ваще норм								Ваще норм		
Омск		Ваще норм	Так себе					Буэээ		—	Буэээ		
Осло		Ваще норм	—	—			Ваще норм			—			
Палермо										—			Ваще норм
Париж		—	Ваще норм	Ваще норм			—	Так себе		—	Ваще норм	Ваще норм	
Патры		—	—	—			—	Так себе		—			
Петрозаводск			—		Буэээ					—			
Питер	Так себе	Ваще норм	Так себе	Ваще норм	Ваще норм	Ваще норм	Ваще норм	Ваще норм		Ваще норм	Ваще норм	Так себе	Ваще норм
Плес			—							—			Так себе
Порту		Ваще норм	—			Ваще норм		Ваще норм		—			
Прага	Ваще норм	Так себе	Ваще норм	Ваще норм	Ваще норм	Ваще норм	Ваще норм	Ваще норм		Ваще норм	Ваще норм		
Рига		Буэээ	—	—			—	Ваще норм		—			
Рим	Ваще норм	Так себе	—	Так себе	Ваще норм	Так себе	Ваще норм	Ваще норм		Ваще норм		Ваще норм	Ваще норм
Римини		Ваще норм	—							—			Буэээ
Родос		—	Так себе	—			—	Так себе		—			Ваще норм
Сан-Франциско		Ваще норм	—	Буэээ		Буэээ	Ваще норм			Буэээ	Ваще норм		
Сарагоса		Ваще норм	—							—			Ваще норм
Севастополь			—	Ваще норм	Буэээ	Ваще норм	—	Ваще норм		—	Так себе		
Симферополь			—			Ваще норм		Ваще норм		—	Так себе		
Синтра		Ваще норм	—			Ваще норм	Ваще норм			—			
Соренто		Ваще норм	—					Так себе		—			Ваще норм
Сочи	Ваще норм		—	Так себе	Так себе		—	Так себе		—	Буэээ		Ваще норм
Стамбул		Так себе	Так себе	—			Ваще норм	Ваще норм		—	Ваще норм	Так себе	Ваще норм
Стокгольм		Так себе	—	—			Так себе			—			
Суздаль			Так себе							—	Так себе		Так себе
Таллин		—	—	—			—	Так себе		—		Буэээ	
Тампере		—	—	—			—	Так себе		—		Ваще норм	
Трондхейм		—	—	—			Ваще норм	Так себе		—			
Турин			—	—			Ваще норм			—			
Филадельфия						Буэээ							
Флоренция			—	—			Ваще норм			—		Ваще норм	Так себе
Хельсинки		Так себе	—	—			Ваще норм	Ваще норм		—		Ваще норм	
Чикаго		Ваще норм	—	—		Ваще норм	—			—			
Ярославль			—		Ваще норм			Ваще норм		Так себе			
